businessid,target_schemes_count,milestones_achieved_count,total_jc_earned
BZID-1304459105,2,1,40.000000
BZID-1304475445,4,2,1450.000000
BZID-1304431293,2,0,0.000000
BZID-1304477010,1,0,0.000000
BZID-1304463262,2,1,40.000000
BZID-1304432463,3,0,0.000000
BZID-1304439843,2,1,40.000000
BZID-1304438436,2,0,0.000000
BZID-1304463883,3,2,205.000000
BZID-1304433096,1,0,0.000000
BZID-1304424075,3,1,50.000000
BZID-1304439025,8,3,6200.000000
BZID-1304477491,3,2,160.000000
BZID-1304476591,2,2,215.000000
BZID-1304477940,2,0,0.000000
BZID-1304435274,2,1,80.000000
BZID-1304463337,4,4,3975.000000
BZID-1304391808,2,2,2270.000000
BZID-1304463422,3,2,80.000000
BZID-1304422060,3,0,0.000000
BZID-1304420152,4,2,80.000000
BZID-1304451241,2,1,40.000000
BZID-1304461470,2,0,0.000000
BZID-1304438497,4,2,60.000000
BZID-1304448214,2,0,0.000000
BZID-1304432991,3,1,40.000000
BZID-1304433077,2,2,80.000000
BZID-1304449305,2,0,0.000000
BZID-1304475518,2,0,0.000000
BZID-1304463361,5,1,80.000000
BZID-1304459514,2,2,725.000000
BZID-1304458471,5,2,80.000000
BZID-1304454670,3,3,90.000000
BZID-1304438226,4,4,150.000000
BZID-1304457667,1,0,0.000000
BZID-1304450041,2,1,40.000000
BZID-1304433971,2,1,40.000000
BZID-1304442770,2,1,40.000000
BZID-1304445316,2,1,40.000000
BZID-1304476506,4,1,40.000000
BZID-1304459187,2,2,125.000000
BZID-1304456032,3,2,120.000000
BZID-1304472437,3,2,1675.000000
BZID-1304446324,4,3,4305.000000
BZID-1304410290,2,0,0.000000
BZID-1304385457,3,3,275.000000
BZID-1304456576,2,0,0.000000
BZID-1304441840,2,1,80.000000
BZID-1304427013,2,0,0.000000
BZID-1304399725,2,2,335.000000
BZID-1304478735,7,7,845.000000
BZID-1304428597,2,2,1365.000000
BZID-1304431331,5,3,85.000000
BZID-1304404606,2,2,270.000000
