businessid,null_search_cnt
BZID-1304351114,2
BZID-1304351116,3
BZID-1304351118,9
BZID-1304351122,10
BZID-1304351123,2
BZID-1304351124,5
BZID-1304351127,5
BZID-1304351129,4
BZID-1304351130,1
BZID-1304351132,1
BZID-1304351138,13
BZID-1304351142,5
BZID-1304351146,2
BZID-1304351147,4
BZID-1304351151,12
BZID-1304351157,4
BZID-1304351162,8
BZID-1304351164,4
BZID-1304351167,4
BZID-1304351172,2
BZID-1304351186,5
BZID-1304351187,1
BZID-1304351188,4
BZID-1304351192,2
BZID-1304351193,1
BZID-1304351194,1
BZID-1304351198,6
BZID-1304351200,5
BZID-1304351205,5
BZID-1304351206,1
BZID-1304351207,3
BZID-1304351213,5
BZID-1304351218,5
BZID-1304351219,2
BZID-1304351223,1
BZID-1304351224,2
BZID-1304351226,2
BZID-1304351231,1
BZID-1304351233,3
BZID-1304351234,1
BZID-1304351235,1
BZID-1304351236,1
BZID-1304351246,1
BZID-1304351260,8
BZID-1304351273,1
BZID-1304351279,39
BZID-1304351280,3
BZID-1304351281,8
BZID-1304351283,1
BZID-1304351287,2
BZID-1304351288,1
BZID-1304351290,6
BZID-1304351291,1
BZID-1304351294,1
BZID-1304351295,2
BZID-1304351296,4
BZID-1304351302,1
BZID-1304351307,1
BZID-1304351309,5
BZID-1304351312,1
BZID-1304351319,2
BZID-1304351320,1
BZID-1304351321,1
BZID-1304351332,3
BZID-1304351334,1
BZID-1304351335,2
BZID-1304351339,3
BZID-1304351346,1
BZID-1304351349,8
BZID-1304351350,2
BZID-1304351352,5
BZID-1304351354,4
BZID-1304351365,2
BZID-1304351367,2
BZID-1304351374,1
BZID-1304351375,1
BZID-1304351379,8
BZID-1304351381,1
BZID-1304351390,1
BZID-1304351391,4
BZID-1304351393,2
BZID-1304351394,3
BZID-1304351396,7
BZID-1304351400,9
BZID-1304351404,1
BZID-1304351411,5
BZID-1304351415,11
BZID-1304351418,1
BZID-1304351425,10
BZID-1304351426,5
BZID-1304351427,13
BZID-1304351430,9
BZID-1304351432,6
BZID-1304351439,9
BZID-1304351440,10
BZID-1304351441,2
BZID-1304351442,3
BZID-1304351447,2
BZID-1304351450,2
BZID-1304351454,1
BZID-1304351456,3
BZID-1304351458,11
BZID-1304351459,3
BZID-1304351461,3
BZID-1304351462,13
BZID-1304351463,3
BZID-1304351465,1
BZID-1304351466,1
BZID-1304351467,1
BZID-1304351468,1
BZID-1304351477,3
BZID-1304351481,1
BZID-1304351482,1
BZID-1304351484,1
BZID-1304351486,14
BZID-1304351490,2
BZID-1304351503,14
BZID-1304351513,12
BZID-1304351514,4
BZID-1304351515,8
BZID-1304351516,1
BZID-1304351554,2
BZID-1304351560,16
BZID-1304351561,2
BZID-1304351564,4
BZID-1304351566,1
BZID-1304351568,2
BZID-1304351569,7
BZID-1304351571,2
BZID-1304351573,1
BZID-1304351577,1
BZID-1304351579,3
BZID-1304351580,11
BZID-1304351581,1
BZID-1304351585,1
BZID-1304351588,2
BZID-1304351590,4
BZID-1304351591,1
BZID-1304351595,1
