businessid,rating_cnt,avg_rating
BZID-1304415779,11,5
BZID-1304459000,2,5
BZID-1304460331,3,5
BZID-1304420972,7,5
BZID-1304421573,4,3
BZID-1304402668,5,5
BZID-1304391456,25,5
BZID-1304395893,18,4
BZID-1304383222,2,5
BZID-1304388758,3,5
BZID-1304380394,1,5
BZID-1304367016,3,5
BZID-1304370123,20,3
BZID-1304359648,1,4
BZID-1304360249,1,5
BZID-1304363410,4,5
BZID-1304373460,4,5
BZID-1304369688,67,5
BZID-1304376196,2,4
BZID-1304380294,1,5
BZID-1304356941,1,5
BZID-1304403733,1,5
BZID-1304610405,3,4
BZID-1304415422,3,5
BZID-1304370711,9,3
BZID-1304414066,9,5
BZID-1304457795,1,5
BZID-1304415968,4,5
BZID-1304436034,1,5
BZID-1304426103,64,3
BZID-1304463184,5,3
BZID-1304469351,1,5
BZID-1304472754,1,5
BZID-1304442871,48,4
BZID-1304447184,4,4
BZID-1304461785,5,4
BZID-1304402020,1,1
BZID-1304469835,2,5
BZID-1304467463,4,4
BZID-1304410564,4,5
BZID-1304416579,4,5
BZID-1304414197,2,5
BZID-1304423109,5,3
BZID-1304391606,17,4
BZID-1304391067,10,5
BZID-1304395762,18,2
BZID-1304411367,3,5
BZID-1304381906,5,3
BZID-1304367358,8,3
BZID-1304367946,16,3
BZID-1304418291,108,3
BZID-1304357522,3,3
BZID-1304363511,8,5
BZID-1304358119,11,2
BZID-1304349214,19,3
BZID-1304355847,1,5
BZID-1304603486,2,5
BZID-1304349423,3,2
BZID-1304469717,48,5
BZID-1304370882,2,4
BZID-1304368270,2,5
BZID-1304404550,1,5
BZID-1304606427,30,2
BZID-1304605982,11,3
BZID-1304608768,4,5
BZID-1304428298,7,5
BZID-1304401239,45,3
BZID-1304409566,4,3
BZID-1304430270,1,1
BZID-1304469519,2,1
BZID-1304421966,1,5
BZID-1304472710,11,3
BZID-1304434889,4,5
BZID-1304476302,2,5
BZID-1304422995,126,3
BZID-1304420254,1,5
BZID-1304416475,29,3
BZID-1304411244,1,5
BZID-1304434795,6,4
BZID-1304406541,1,5
BZID-1304406951,4,4
BZID-1304402927,1,5
BZID-1304391655,3,5
BZID-1304393248,10,3
BZID-1304382551,4,4
BZID-1304377216,1,1
BZID-1304370242,10,4
BZID-1304357695,7,5
BZID-1304360165,7,5
BZID-1304362840,1,5
BZID-1304349207,1,5
BZID-1304355955,2,5
BZID-1304603703,11,4
BZID-1304606826,1,5
BZID-1304381367,1,1
BZID-1304608585,9,4
BZID-1304479298,8,5
BZID-1304420843,3,1
BZID-1304477522,1,5
BZID-1304458017,1,5
BZID-1304467829,7,4
BZID-1304426614,5,5
BZID-1304471246,1,5
BZID-1304465373,3,5
BZID-1304459840,5,3
BZID-1304450109,4,3
BZID-1304423341,6,2
BZID-1304471698,3,5
BZID-1304466668,20,1
BZID-1304469998,64,3
BZID-1304402151,5,3
BZID-1304402465,1,2
BZID-1304390276,1,5
BZID-1304396666,9,4
BZID-1304375191,42,5
BZID-1304376879,2,4
BZID-1304377028,26,5
BZID-1304380200,1,3
BZID-1304367346,1,5
BZID-1304358734,33,3
BZID-1304378771,13,4
BZID-1304361220,14,2
BZID-1304355009,10,4
BZID-1304605042,1,5
BZID-1304605140,1,5
BZID-1304605293,1,5
BZID-1304610648,3,5
BZID-1304611132,9,5
BZID-1304388162,1,5
BZID-1304598775,4,4
BZID-1304393317,42,4
BZID-1304367845,1,4
BZID-1304608986,1,5
BZID-1304401814,1,5
BZID-1304420562,1,5
BZID-1304456843,8,5
BZID-1304430112,5,4
BZID-1304443571,1,5
BZID-1304428662,1,4
BZID-1304421699,5,3
BZID-1304432345,16,5
BZID-1304437026,8,5
BZID-1304425567,3,5
BZID-1304430733,1,3
BZID-1304459104,8,4
BZID-1304444075,1,4
BZID-1304463349,3,5
BZID-1304465515,1,5
BZID-1304431484,1,5
BZID-1304402463,3,5
BZID-1304393045,2,5
BZID-1304396759,6,5
BZID-1304385233,3,3
BZID-1304378330,3,5
BZID-1304369621,1,4
BZID-1304368594,65,4
BZID-1304373017,5,4
BZID-1304360459,3,5
BZID-1304352294,1,5
BZID-1304353007,10,3
BZID-1304380492,2,3
BZID-1304355760,4,5
BZID-1304604641,5,3
BZID-1304405798,2,5
BZID-1304441067,2,5
BZID-1304417371,6,5
BZID-1304416342,188,3
BZID-1304426455,2,3
BZID-1304409784,2,3
BZID-1304408365,9,4
BZID-1304447067,16,5
BZID-1304433452,10,3
BZID-1304449165,5,5
BZID-1304438755,12,5
BZID-1304442455,11,4
BZID-1304438545,3,5
BZID-1304419277,3,4
BZID-1304416499,87,5
BZID-1304388920,2,1
BZID-1304375866,5,5
BZID-1304358990,13,1
BZID-1304359643,1,1
BZID-1304408376,6,4
BZID-1304364779,5,3
BZID-1304608570,1,5
BZID-1304609541,1,5
BZID-1304423660,12,5
BZID-1304469589,5,3
BZID-1304465910,36,3
BZID-1304426460,32,5
BZID-1304467601,5,3
BZID-1304423830,9,3
BZID-1304426311,2,5
BZID-1304449736,1,1
BZID-1304416987,3,4
BZID-1304397652,33,4
BZID-1304397006,2,4
BZID-1304389960,3,5
BZID-1304389895,1,5
BZID-1304379728,4,5
BZID-1304378131,1,5
BZID-1304397708,1,5
BZID-1304389620,1295,3
BZID-1304368729,5,3
BZID-1304359284,2,5
BZID-1304360897,1,5
BZID-1304412867,16,5
BZID-1304365299,66,4
