businessid,prev_max_order_dt,prev_total_orders,prev_distinct_order_dates
BZID-1304398631,2021-12-15,44,35
BZID-1304375772,2021-12-05,22,14
BZID-1304386557,2021-12-17,26,21
BZID-1304457090,2021-12-09,302,247
BZID-1304439847,2021-11-19,190,134
BZID-1304463561,2021-12-12,272,152
BZID-1304451303,2021-12-16,151,101
BZID-1304470937,2021-12-15,2692,681
BZID-1304459978,2021-12-11,504,303
BZID-1304437917,2021-12-14,76,53
BZID-1304480250,2021-12-16,2195,881
BZID-1304436229,2021-12-14,131,99
BZID-1304460472,2021-11-18,24,13
BZID-1304463293,2021-12-16,58,53
BZID-1304455811,2021-12-12,991,327
BZID-1304442080,2021-12-18,365,238
BZID-1304435671,2021-07-01,10,10
BZID-1304426259,2021-12-18,52,37
BZID-1304405516,2021-12-17,250,87
BZID-1304457307,2021-12-07,86,76
BZID-1304401349,2021-12-10,36,12
BZID-1304387303,2021-12-18,167,54
BZID-1304460045,2021-12-18,230,167
BZID-1304463268,2021-12-12,256,202
BZID-1304478988,2021-12-16,941,483
BZID-1304450633,2021-12-18,2210,458
BZID-1304438346,2021-12-14,17,5
BZID-1304353643,2021-12-17,37,19
BZID-1304420944,2021-12-17,180,90
BZID-1304399135,2021-12-16,44,32
BZID-1304475232,2019-03-10,745,344
BZID-1304474546,2021-12-18,2363,653
BZID-1304472099,2021-12-16,1215,658
BZID-1304478177,2021-11-01,2217,880
BZID-1304475004,2021-12-18,4256,1106
BZID-1304480004,2019-11-19,61,57
BZID-1304476157,2021-12-15,2264,783
BZID-1304472956,2021-11-30,1327,744
BZID-1304471781,2020-04-16,769,258
BZID-1304464129,2021-12-11,895,557
BZID-1304451112,2021-12-18,2308,635
BZID-1304425870,2021-12-18,419,126
BZID-1304471366,2021-12-16,606,208
BZID-1304445953,2021-12-17,208,128
BZID-1304480109,2021-12-18,2432,555
BZID-1304464150,2021-12-18,2329,481
BZID-1304438119,2021-12-18,153,117
BZID-1304432689,2021-12-18,1174,338
BZID-1304438338,2021-12-18,144,72
BZID-1304451455,2021-12-17,459,164
BZID-1304464775,2021-12-18,2118,979
BZID-1304450374,2021-12-02,79,35
BZID-1304463607,2021-12-18,897,376
BZID-1304479248,2021-12-18,1141,519
BZID-1304436680,2021-11-23,140,74
BZID-1304466815,2021-12-05,2084,767
BZID-1304460667,2021-12-18,242,170
BZID-1304438032,2021-12-18,230,103
BZID-1304465768,2021-12-18,2074,1018
BZID-1304427082,2021-12-18,176,96
BZID-1304460439,2021-12-18,546,315
BZID-1304460491,2021-12-17,1883,668
BZID-1304456611,2021-12-16,333,204
BZID-1304403479,2021-12-18,68,47
BZID-1304454277,2021-12-14,189,124
BZID-1304460199,2021-12-17,1542,246
BZID-1304478765,2021-12-18,538,389
BZID-1304470805,2021-12-18,1149,342
BZID-1304468728,2021-12-18,6082,831
BZID-1304466173,2021-12-17,1902,683
BZID-1304441947,2021-03-26,150,69
BZID-1304471790,2021-12-18,1809,805
BZID-1304472567,2021-12-18,3703,1116
BZID-1304445332,2021-12-18,6418,452
BZID-1304456763,2021-12-17,1237,679
BZID-1304450451,2021-12-16,311,170
BZID-1304465590,2021-12-17,3196,809
BZID-1304458753,2021-11-29,571,203
BZID-1304441847,2021-11-17,90,78
BZID-1304479548,2021-12-18,1077,681
BZID-1304475937,2021-12-13,309,253
BZID-1304460647,2021-12-17,469,367
BZID-1304435196,2021-12-18,250,172
BZID-1304431252,2021-12-17,250,189
BZID-1304477242,2021-12-18,2868,1004
BZID-1304478836,2021-12-15,1007,629
BZID-1304464600,2021-07-08,4477,561
BZID-1304469524,2021-06-23,1354,495
BZID-1304467671,2021-12-15,1256,510
BZID-1304475698,2021-12-18,3045,802
BZID-1304464897,2021-12-17,2157,753
BZID-1304464106,2021-12-17,1890,961
BZID-1304474527,2021-12-09,2048,276
BZID-1304470222,2021-12-12,350,193
BZID-1304472357,2021-12-18,4937,1095
BZID-1304473377,2021-12-17,4780,1237
BZID-1304470688,2021-12-07,937,396
BZID-1304477708,2021-12-18,2271,1103
BZID-1304467793,2021-12-18,1699,621
BZID-1304469210,2021-12-18,2656,964
BZID-1304460530,2021-09-17,783,379
BZID-1304474654,2020-01-06,845,413
BZID-1304469619,2020-04-08,1247,384
BZID-1304465179,2021-12-15,1081,376
BZID-1304473180,2021-12-07,3912,847
BZID-1304477082,2021-08-06,1020,502
BZID-1304465365,2019-03-25,279,171
BZID-1304478587,2021-12-16,1611,403
BZID-1304478488,2021-02-08,267,247
BZID-1304470581,2018-11-26,10,4
BZID-1304472644,2021-12-14,3342,489
BZID-1304464569,2021-12-17,2469,593
BZID-1304477859,2021-12-15,1245,625
BZID-1304480044,2020-09-14,5398,681
BZID-1304473649,2021-12-15,763,528
BZID-1304477601,2021-12-13,1847,832
BZID-1304467499,2021-12-18,1754,633
BZID-1304472164,2020-01-10,1200,386
BZID-1304476413,2021-12-18,604,120
BZID-1304475694,2020-12-22,498,317
BZID-1304473763,2021-12-18,4342,830
BZID-1304471788,2020-01-09,370,142
BZID-1304465644,2021-07-03,1994,462
BZID-1304464484,2021-12-18,3142,1038
BZID-1304465865,2021-12-03,196,124
BZID-1304470166,2019-12-13,707,186
BZID-1304469831,2021-12-08,112,91
BZID-1304474756,2021-12-17,3513,884
BZID-1304468645,2021-06-07,89,86
BZID-1304472889,2021-12-09,3182,853
BZID-1304469972,2021-12-18,2365,884
BZID-1304480202,2019-01-14,590,219
BZID-1304466379,2021-11-16,1034,423
BZID-1304470244,2021-12-17,1095,372
BZID-1304477653,2021-12-17,923,658
BZID-1304455967,2019-04-04,292,52
BZID-1304480190,2021-12-18,912,449
BZID-1304464844,2021-12-14,306,203
BZID-1304466829,2021-12-18,2190,780
BZID-1304476008,2021-04-02,1285,320
BZID-1304475216,2021-12-18,5247,1390
BZID-1304400359,2021-12-14,11,8
BZID-1304375304,2021-12-18,134,65
BZID-1304401333,2021-12-02,210,23
BZID-1304421336,2021-12-15,24,20
BZID-1304355729,2021-12-18,21,16
BZID-1304607476,2021-12-17,6,6
BZID-1304375742,2021-12-18,98,53
BZID-1304479761,2021-12-18,1974,758
BZID-1304466096,2019-04-15,391,177
BZID-1304466940,2021-12-17,4634,500
BZID-1304465784,2021-12-14,462,349
BZID-1304479643,2021-12-17,706,349
BZID-1304457199,2021-12-12,174,120
BZID-1304425257,2021-12-18,819,199
BZID-1304446846,2021-12-18,526,240
BZID-1304464370,2021-12-18,1994,759
BZID-1304457277,2021-12-18,454,316
BZID-1304467286,2021-12-18,1576,718
BZID-1304475198,2021-12-18,5261,959
BZID-1304460245,2021-12-17,1231,668
BZID-1304434157,2021-12-17,47,36
BZID-1304471268,2021-12-18,1126,547
BZID-1304443753,2021-11-27,104,86
BZID-1304419108,2021-12-05,58,43
BZID-1304471419,2021-12-16,450,218
BZID-1304447384,2021-12-18,82,71
BZID-1304463465,2021-12-18,300,244
BZID-1304473929,2021-12-15,504,341
BZID-1304463159,2021-12-17,238,174
BZID-1304462225,2021-01-23,148,47
BZID-1304459839,2021-12-16,684,151
BZID-1304433476,2021-12-18,124,90
BZID-1304449128,2021-12-17,198,135
BZID-1304457389,2021-12-17,182,176
BZID-1304440251,2021-12-13,250,184
BZID-1304420872,2021-12-14,105,35
BZID-1304463792,2021-12-16,804,392
BZID-1304417298,2021-12-17,73,63
BZID-1304466957,2021-12-17,336,190
BZID-1304433844,2021-12-08,141,84
BZID-1304467699,2021-12-18,306,231
BZID-1304446667,2021-09-24,125,74
BZID-1304461923,2021-12-18,146,123
BZID-1304475919,2021-11-29,1769,647
BZID-1304473993,2021-12-18,1330,619
BZID-1304463211,2021-12-16,573,208
BZID-1304474738,2021-11-07,568,370
BZID-1304407089,2021-12-15,68,49
BZID-1304461612,2021-12-07,41,25
BZID-1304438564,2021-12-18,502,244
