businessid,total_visits
BZID-1304425014,2
BZID-1304391678,1
BZID-1304470294,1
BZID-1304422819,1
BZID-1304456843,1
BZID-1304385508,1
BZID-1304427618,1
BZID-1304477033,1
BZID-1304391281,2
BZID-1304357137,1
BZID-1304386418,1
BZID-1304442620,1
BZID-1304406232,1
BZID-1304402539,1
BZID-1304380050,2
BZID-1304368578,1
BZID-1304380482,1
BZID-1304436674,1
BZID-1304361740,1
BZID-1304406394,1
BZID-1304406559,1
BZID-1304412118,3
BZID-1304398899,1
BZID-1304437025,2
BZID-1304427015,1
BZID-1304459500,1
BZID-1304428758,1
BZID-1304397384,2
BZID-1304449018,1
BZID-1304428690,1
BZID-1304427261,1
BZID-1304448438,1
BZID-1304379584,3
BZID-1304457883,1
BZID-1304358990,1
BZID-1304434268,1
BZID-1304407950,2
BZID-1304374036,2
BZID-1304433807,2
BZID-1304448186,1
BZID-1304401455,2
BZID-1304437947,2
BZID-1304449789,1
BZID-1304408366,2
BZID-1304474982,1
BZID-1304407571,1
BZID-1304386091,2
BZID-1304383766,1
BZID-1304480185,1
BZID-1304392721,1
BZID-1304474294,1
BZID-1304413259,1
BZID-1304388273,1
BZID-1304472887,3
BZID-1304380215,3
BZID-1304420381,1
BZID-1304400185,1
BZID-1304361660,1
BZID-1304429057,2
BZID-1304420277,2
BZID-1304477350,1
BZID-1304373017,1
BZID-1304410986,1
BZID-1304427687,1
BZID-1304447837,1
BZID-1304420558,1
BZID-1304380202,1
BZID-1304449263,1
BZID-1304407701,1
BZID-1304395917,1
BZID-1304444548,1
BZID-1304376473,1
BZID-1304436611,1
BZID-1304427886,1
BZID-1304387505,1
BZID-1304431510,2
BZID-1304365881,1
BZID-1304474603,1
BZID-1304377810,1
BZID-1304416095,1
BZID-1304362548,2
BZID-1304374706,2
BZID-1304397111,1
BZID-1304391475,2
BZID-1304412189,1
BZID-1304399124,1
BZID-1304391312,1
BZID-1304447708,1
BZID-1304385579,1
BZID-1304356411,1
BZID-1304448850,2
BZID-1304394325,2
BZID-1304418277,1
BZID-1304394477,1
BZID-1304437912,1
BZID-1304417789,1
BZID-1304376686,2
BZID-1304435620,2
BZID-1304421725,1
BZID-1304467169,2
BZID-1304374539,1
BZID-1304400324,1
BZID-1304417453,1
BZID-1304416300,2
BZID-1304471362,2
BZID-1304412946,1
BZID-1304467543,1
BZID-1304429040,1
BZID-1304451481,1
BZID-1304395944,1
BZID-1304409668,2
BZID-1304438827,1
BZID-1304409901,1
BZID-1304471272,1
BZID-1304384766,1
BZID-1304415303,1
BZID-1304419579,2
BZID-1304349207,1
BZID-1304418937,1
BZID-1304452343,1
BZID-1304388623,1
BZID-1304349429,1
BZID-1304369621,1
BZID-1304407399,1
BZID-1304464552,1
BZID-1304400649,1
BZID-1304368478,1
BZID-1304426164,2
BZID-1304430527,2
BZID-1304400071,1
BZID-1304403467,1
BZID-1304390719,2
BZID-1304424005,1
BZID-1304450888,1
BZID-1304410074,1
BZID-1304384885,1
BZID-1304475821,1
BZID-1304435793,1
BZID-1304431295,1
BZID-1304419277,1
BZID-1304395391,1
BZID-1304363838,1
BZID-1304473047,1
BZID-1304363498,3
BZID-1304403681,1
BZID-1304365780,1
BZID-1304434566,1
BZID-1304383463,2
BZID-1304462000,2
BZID-1304457267,1
BZID-1304395826,2
