businessid,rating_cnt,avg_rating
BZID-1304414234,10,5
BZID-1304596686,125,3
BZID-1304598727,2,5
BZID-1304597046,1,2
BZID-1304590356,1,5
BZID-1304549931,4,5
BZID-1304553936,2,5
BZID-1304476109,4,4
BZID-1304410749,1,5
BZID-1304408632,6,5
BZID-1304464674,2,5
BZID-1304423024,2,5
BZID-1304423618,1,5
BZID-1304426811,4,3
BZID-1304458679,28,5
BZID-1304422672,8,5
BZID-1304407736,1,1
BZID-1304449964,1,5
BZID-1304407341,1,5
BZID-1304447885,3,5
BZID-1304474105,1,5
BZID-1304444671,2,5
BZID-1304433910,27,4
BZID-1304418579,2,5
BZID-1304426161,3,2
BZID-1304407119,3,1
BZID-1304423344,23,5
BZID-1304464943,5,3
BZID-1304476911,1,5
BZID-1304465692,5,3
BZID-1304475607,1,5
BZID-1304427753,3,5
BZID-1304479297,42,5
BZID-1304474571,7,5
BZID-1304427264,4,3
BZID-1304420174,4,3
BZID-1304418093,80,3
BZID-1304391146,29,3
BZID-1304396516,1,5
BZID-1304385103,12,3
BZID-1304386319,35,3
BZID-1304388327,4,5
BZID-1304369582,3,5
BZID-1304368181,2,5
BZID-1304380621,11,5
BZID-1304438145,6,5
BZID-1304359437,29,5
BZID-1304364237,21,4
BZID-1304349619,1,5
BZID-1304365794,5,3
BZID-1304349540,1,4
BZID-1304354866,5,4
BZID-1304606545,22,3
BZID-1304596934,28,3
BZID-1304598647,1,4
BZID-1304377056,2,4
BZID-1304600457,2,4
BZID-1304568606,20,5
BZID-1304476713,3,1
BZID-1304399752,1,1
BZID-1304475674,2,5
BZID-1304435675,1,5
BZID-1304465740,12,3
BZID-1304434036,1,5
BZID-1304445178,1,5
BZID-1304462045,3,5
BZID-1304444863,61,4
BZID-1304463335,1,5
BZID-1304472202,1,3
BZID-1304432161,1,5
BZID-1304402922,12,2
BZID-1304390888,4,2
BZID-1304385038,8,4
BZID-1304387716,28,3
BZID-1304376854,50,5
BZID-1304377499,11,5
BZID-1304376763,1,5
BZID-1304381201,1,5
BZID-1304370399,6,5
BZID-1304373026,1,5
BZID-1304373247,4,5
BZID-1304388892,5,3
BZID-1304363954,1,1
BZID-1304364520,4,4
BZID-1304409350,1,5
BZID-1304367856,9,3
BZID-1304356964,2,5
BZID-1304604216,1,5
BZID-1304607557,14,5
BZID-1304595314,2,4
BZID-1304597014,100,3
BZID-1304577790,2,3
BZID-1304570102,1,3
BZID-1304562142,2,4
BZID-1304464971,1,4
BZID-1304421782,1,5
BZID-1304426505,4,5
BZID-1304440481,1,1
BZID-1304424006,27,1
BZID-1304463076,1,1
BZID-1304425396,51,5
BZID-1304430732,1,5
BZID-1304469996,2,5
BZID-1304451094,13,3
BZID-1304475335,6,4
BZID-1304474142,112,2
BZID-1304428705,3,4
BZID-1304465217,13,5
BZID-1304410708,20,5
BZID-1304399993,2,5
BZID-1304379566,1,5
BZID-1304367157,1,5
BZID-1304370777,1,5
BZID-1304357816,11,4
BZID-1304406230,28,4
BZID-1304397454,1,5
BZID-1304357106,12,5
BZID-1304603204,1,5
BZID-1304608167,1,5
BZID-1304606496,7,5
BZID-1304413601,10,3
BZID-1304423780,7,3
BZID-1304400567,5,3
BZID-1304358773,33,4
BZID-1304565131,21,5
BZID-1304449088,3,3
BZID-1304475900,1,5
BZID-1304410227,1,5
BZID-1304479244,5,4
BZID-1304465295,1,5
BZID-1304437109,1,2
BZID-1304460256,14,5
BZID-1304471255,5,2
BZID-1304459092,4,3
BZID-1304427112,1,5
BZID-1304458862,13,5
BZID-1304467373,1,5
BZID-1304475707,4,5
BZID-1304461670,1,5
BZID-1304414610,13,5
BZID-1304401416,35,3
BZID-1304451696,15,5
BZID-1304421356,15,3
BZID-1304403407,12,1
BZID-1304399347,4,5
BZID-1304405425,20,1
BZID-1304396141,6,3
BZID-1304382010,5,3
BZID-1304379965,12,5
BZID-1304399070,1,1
BZID-1304363228,13,3
BZID-1304365456,2,5
BZID-1304364140,11,3
BZID-1304443466,2,5
BZID-1304367707,1,5
BZID-1304367800,22,4
BZID-1304608249,7,5
BZID-1304400610,1,5
BZID-1304400907,1,5
BZID-1304437464,11,3
BZID-1304463507,1,5
BZID-1304424997,2,5
BZID-1304466615,1,5
BZID-1304427561,50,3
BZID-1304392189,1,5
BZID-1304383704,10,3
BZID-1304387465,1,1
BZID-1304389696,3,4
BZID-1304389108,9,5
BZID-1304377171,1,5
BZID-1304395570,11,5
BZID-1304383808,6,3
BZID-1304371519,5,3
BZID-1304426221,13,4
BZID-1304399568,5,5
BZID-1304350278,6,3
BZID-1304351978,45,5
BZID-1304596781,2,2
BZID-1304359737,2,5
BZID-1304359286,1,4
BZID-1304555538,12,3
BZID-1304420255,1,4
BZID-1304435520,1,5
BZID-1304400965,5,4
BZID-1304451364,65,5
BZID-1304449799,3,4
BZID-1304470451,2,5
BZID-1304424495,14,5
BZID-1304410815,19,5
BZID-1304462393,6,3
BZID-1304420596,3,5
BZID-1304419845,78,3
BZID-1304394092,6,1
BZID-1304403804,1,5
BZID-1304394330,1,1
BZID-1304383062,4,5
BZID-1304386790,2,3
BZID-1304396117,4,5
BZID-1304398881,55,5
BZID-1304361177,7,4
BZID-1304365016,1,5
BZID-1304365294,1,1
BZID-1304355281,9,5
BZID-1304603479,4,5
BZID-1304604034,10,5
BZID-1304606042,5,5
BZID-1304596261,15,3
BZID-1304596540,22,5
BZID-1304597445,10,3
BZID-1304597428,265,3
BZID-1304450085,20,4
BZID-1304578525,1,5
BZID-1304562479,25,2
BZID-1304554811,4,2
