businessid,target_schemes_count,milestones_achieved_count,total_jc_earned
BZID-1304390108,2,1,80.000000
BZID-1304451173,2,2,400.000000
BZID-1304478975,3,0,0.000000
BZID-1304443809,3,2,155.000000
BZID-1304464468,2,2,470.000000
BZID-1304430188,2,2,470.000000
BZID-1304461209,2,1,135.000000
BZID-1304426596,2,1,135.000000
BZID-1304419224,2,0,0.000000
BZID-1304352522,2,0,0.000000
BZID-1304423340,3,2,405.000000
BZID-1304370916,2,2,470.000000
BZID-1304364005,2,1,135.000000
BZID-1304357819,2,2,400.000000
BZID-1304472449,2,2,335.000000
BZID-1304421453,2,2,335.000000
BZID-1304435659,2,2,280.000000
BZID-1304360998,2,2,350.000000
BZID-1304382952,3,2,470.000000
BZID-1304385215,2,0,0.000000
BZID-1304464151,3,0,0.000000
BZID-1304466643,4,2,30.000000
BZID-1304416297,3,1,80.000000
BZID-1304463874,3,1,10.000000
BZID-1304469576,6,4,410.000000
BZID-1304395618,2,2,1635.000000
BZID-1304438968,4,1,40.000000
BZID-1304458352,3,2,150.000000
BZID-1304387097,3,0,0.000000
BZID-1304451506,5,2,355.000000
BZID-1304464724,2,1,710.000000
BZID-1304475360,2,2,2555.000000
BZID-1304480164,7,1,85.000000
BZID-1304610779,3,2,85.000000
BZID-1304474903,3,1,10.000000
BZID-1304435586,4,3,230.000000
BZID-1304456241,3,1,40.000000
BZID-1304425851,2,2,2555.000000
BZID-1304477337,4,2,215.000000
BZID-1304459252,4,4,180.000000
BZID-1304466319,6,2,90.000000
BZID-1304425618,2,1,1155.000000
BZID-1304393173,3,1,45.000000
BZID-1304385664,3,3,265.000000
BZID-1304424614,2,1,20.000000
BZID-1304597676,2,1,45.000000
BZID-1304381500,3,1,20.000000
BZID-1304427423,3,2,110.000000
BZID-1304463363,2,0,0.000000
BZID-1304355547,3,1,45.000000
BZID-1304467442,3,0,0.000000
BZID-1304443692,4,1,5.000000
BZID-1304446620,3,1,80.000000
BZID-1304432015,2,2,2555.000000
BZID-1304353270,2,1,40.000000
BZID-1304445719,2,1,20.000000
BZID-1304475553,3,2,80.000000
BZID-1304361554,2,1,85.000000
BZID-1304606450,2,2,85.000000
BZID-1304459306,2,1,40.000000
BZID-1304389654,2,1,40.000000
BZID-1304353738,2,2,235.000000
BZID-1304414939,3,2,125.000000
BZID-1304378656,2,0,0.000000
BZID-1304407692,2,0,0.000000
BZID-1304429003,2,0,0.000000
BZID-1304419547,2,2,80.000000
BZID-1304438771,1,0,0.000000
BZID-1304426658,2,2,85.000000
BZID-1304387168,2,0,0.000000
BZID-1304422017,2,0,0.000000
BZID-1304383401,2,2,60.000000
BZID-1304430863,2,2,85.000000
BZID-1304466669,3,0,0.000000
BZID-1304363302,2,1,40.000000
BZID-1304385449,2,0,0.000000
BZID-1304608357,2,1,100.000000
BZID-1304416959,2,0,0.000000
BZID-1304388860,2,1,40.000000
BZID-1304356212,2,2,235.000000
BZID-1304374743,2,2,80.000000
BZID-1304595148,2,2,130.000000
BZID-1304397271,2,1,40.000000
BZID-1304361248,2,2,175.000000
BZID-1304450530,2,2,140.000000
BZID-1304379889,2,2,80.000000
BZID-1304466442,3,2,125.000000
BZID-1304360814,2,1,85.000000
BZID-1304405362,2,2,175.000000
BZID-1304353588,2,1,45.000000
BZID-1304400307,2,0,0.000000
BZID-1304465571,2,1,40.000000
BZID-1304430894,2,1,45.000000
BZID-1304465375,2,0,0.000000
BZID-1304436037,2,1,20.000000
BZID-1304434092,2,2,140.000000
BZID-1304418620,2,0,0.000000
BZID-1304368403,2,2,80.000000
BZID-1304380131,2,1,40.000000
BZID-1304408023,2,1,40.000000
BZID-1304357610,2,1,135.000000
BZID-1304376713,2,2,85.000000
BZID-1304351450,2,2,235.000000
BZID-1304422248,2,2,85.000000
BZID-1304475132,2,1,45.000000
BZID-1304380260,2,1,40.000000
BZID-1304356259,2,2,235.000000
BZID-1304381237,1,0,0.000000
BZID-1304420250,3,2,80.000000
BZID-1304437169,2,2,85.000000
BZID-1304386565,2,1,100.000000
BZID-1304445370,4,3,190.000000
BZID-1304471527,3,1,40.000000
BZID-1304445251,2,1,3580.000000
BZID-1304436257,2,2,130.000000
BZID-1304418013,2,2,80.000000
BZID-1304358630,2,0,0.000000
BZID-1304406890,2,1,20.000000
BZID-1304448665,2,2,80.000000
BZID-1304428101,3,2,165.000000
BZID-1304404133,2,2,125.000000
BZID-1304607322,2,1,45.000000
BZID-1304606148,2,1,45.000000
BZID-1304357524,2,1,45.000000
BZID-1304596498,2,1,100.000000
BZID-1304403734,2,1,40.000000
BZID-1304355487,2,2,85.000000
BZID-1304370986,2,2,170.000000
BZID-1304386382,2,2,85.000000
BZID-1304356578,2,1,20.000000
BZID-1304350446,2,2,185.000000
BZID-1304375778,2,2,80.000000
BZID-1304391649,2,2,80.000000
BZID-1304365240,2,0,0.000000
BZID-1304391573,2,0,0.000000
BZID-1304401440,2,2,125.000000
BZID-1304406189,2,0,0.000000
BZID-1304410985,2,2,60.000000
BZID-1304429298,2,0,0.000000
BZID-1304471558,2,1,20.000000
BZID-1304379151,2,2,80.000000
BZID-1304405976,2,0,0.000000
BZID-1304361070,2,2,170.000000
BZID-1304462104,3,2,80.000000
BZID-1304372065,2,1,20.000000
BZID-1304385568,2,1,435.000000
BZID-1304350704,2,1,350.000000
BZID-1304473324,2,2,7160.000000
BZID-1304435241,2,2,1040.000000
BZID-1304359792,2,0,0.000000
BZID-1304465376,4,0,0.000000
BZID-1304429459,3,0,0.000000
BZID-1304456964,1,1,520.000000
BZID-1304400871,3,0,0.000000
BZID-1304436030,2,0,0.000000
BZID-1304395131,2,1,350.000000
BZID-1304418349,2,0,0.000000
BZID-1304459903,2,0,0.000000
BZID-1304469593,2,2,7160.000000
BZID-1304439780,2,0,0.000000
BZID-1304440513,3,3,85.000000
BZID-1304477632,2,2,125.000000
BZID-1304407583,2,1,40.000000
BZID-1304378476,2,2,80.000000
BZID-1304377076,2,2,140.000000
BZID-1304396231,3,0,0.000000
BZID-1304412606,2,2,125.000000
BZID-1304607700,2,2,235.000000
BZID-1304456962,2,1,40.000000
BZID-1304390577,2,0,0.000000
BZID-1304441566,3,1,40.000000
BZID-1304390215,2,1,40.000000
BZID-1304414679,2,1,85.000000
BZID-1304374820,2,2,85.000000
BZID-1304384225,2,2,235.000000
BZID-1304604612,2,2,85.000000
BZID-1304351164,2,2,80.000000
BZID-1304363175,2,2,130.000000
BZID-1304406884,2,1,40.000000
BZID-1304605192,3,2,85.000000
BZID-1304404108,2,2,80.000000
BZID-1304466952,2,1,40.000000
BZID-1304382516,2,2,85.000000
BZID-1304365954,2,0,0.000000
BZID-1304463115,2,0,0.000000
BZID-1304451036,2,2,235.000000
BZID-1304354707,3,2,235.000000
BZID-1304424041,2,1,20.000000
BZID-1304445673,2,1,40.000000
BZID-1304365099,2,1,20.000000
BZID-1304352269,2,0,0.000000
BZID-1304354900,2,2,235.000000
BZID-1304352307,2,1,40.000000
BZID-1304464080,2,2,80.000000
BZID-1304358739,2,2,235.000000
BZID-1304403023,2,1,45.000000
BZID-1304437174,2,1,45.000000
BZID-1304439687,2,0,0.000000
BZID-1304465753,2,1,40.000000
BZID-1304474461,2,2,80.000000
BZID-1304463894,2,2,80.000000
BZID-1304608149,2,2,180.000000
BZID-1304479665,2,1,100.000000
BZID-1304478278,2,0,0.000000
BZID-1304380880,2,1,85.000000
BZID-1304404058,2,2,80.000000
BZID-1304604161,2,2,140.000000
BZID-1304357605,2,2,85.000000
BZID-1304409225,2,2,125.000000
BZID-1304410109,2,2,185.000000
BZID-1304441273,2,0,0.000000
BZID-1304472465,3,2,55.000000
BZID-1304393663,1,1,40.000000
BZID-1304409581,2,0,0.000000
BZID-1304368846,2,2,60.000000
BZID-1304463420,4,1,45.000000
BZID-1304354168,2,2,185.000000
BZID-1304438307,2,0,0.000000
BZID-1304608554,2,1,20.000000
BZID-1304387733,2,1,100.000000
BZID-1304478055,2,2,80.000000
BZID-1304353268,2,2,235.000000
BZID-1304366637,1,0,0.000000
BZID-1304403811,2,2,105.000000
BZID-1304388288,2,0,0.000000
BZID-1304412456,2,0,0.000000
BZID-1304388107,2,2,125.000000
BZID-1304417128,2,2,80.000000
BZID-1304434712,3,2,5690.000000
BZID-1304393916,2,0,0.000000
BZID-1304380624,1,0,0.000000
BZID-1304429270,2,1,45.000000
BZID-1304424346,2,1,40.000000
BZID-1304376915,2,0,0.000000
BZID-1304371952,2,2,80.000000
BZID-1304356105,2,2,235.000000
BZID-1304410923,2,2,125.000000
BZID-1304360171,2,1,40.000000
BZID-1304399978,2,1,45.000000
BZID-1304374487,2,1,40.000000
BZID-1304385787,2,2,85.000000
BZID-1304406181,2,0,0.000000
BZID-1304402640,2,1,135.000000
BZID-1304419496,2,0,0.000000
BZID-1304374922,2,2,170.000000
BZID-1304400078,2,2,140.000000
BZID-1304407345,2,1,85.000000
BZID-1304360280,2,1,45.000000
BZID-1304414531,2,1,20.000000
BZID-1304405559,2,1,85.000000
BZID-1304462887,2,1,40.000000
BZID-1304423293,2,2,80.000000
BZID-1304430182,2,0,0.000000
BZID-1304352825,2,2,80.000000
BZID-1304446329,2,0,0.000000
BZID-1304435505,2,2,80.000000
BZID-1304606201,2,1,45.000000
BZID-1304386104,2,2,60.000000
BZID-1304368124,2,2,80.000000
BZID-1304604825,2,2,60.000000
BZID-1304356310,2,2,140.000000
BZID-1304371948,2,2,185.000000
BZID-1304409294,1,1,40.000000
BZID-1304358762,2,2,60.000000
BZID-1304382981,2,0,0.000000
BZID-1304382871,2,2,125.000000
BZID-1304418410,2,2,125.000000
BZID-1304466076,2,0,0.000000
BZID-1304610442,2,2,180.000000
BZID-1304605971,2,2,140.000000
BZID-1304372278,2,1,40.000000
BZID-1304417493,3,2,125.000000
BZID-1304598036,2,2,235.000000
BZID-1304400499,2,2,85.000000
BZID-1304604136,2,1,20.000000
BZID-1304364964,2,1,40.000000
BZID-1304428558,2,1,85.000000
BZID-1304434163,2,1,40.000000
BZID-1304361434,2,1,100.000000
BZID-1304401041,2,2,125.000000
BZID-1304374517,2,2,175.000000
BZID-1304363899,2,2,85.000000
BZID-1304434377,2,1,45.000000
BZID-1304353940,2,1,45.000000
BZID-1304419278,2,2,80.000000
BZID-1304368901,2,0,0.000000
BZID-1304419183,2,1,85.000000
BZID-1304604973,2,2,235.000000
BZID-1304461067,3,2,85.000000
BZID-1304372272,2,2,85.000000
BZID-1304382264,2,1,40.000000
BZID-1304385926,2,1,45.000000
BZID-1304421124,2,1,40.000000
BZID-1304368413,2,2,80.000000
BZID-1304415186,2,2,235.000000
BZID-1304351436,2,2,180.000000
BZID-1304414881,2,0,0.000000
BZID-1304467183,1,0,0.000000
BZID-1304392692,1,0,0.000000
BZID-1304362851,2,1,40.000000
BZID-1304426585,2,0,0.000000
BZID-1304384957,2,1,40.000000
BZID-1304400524,2,1,40.000000
BZID-1304377760,2,2,80.000000
BZID-1304353795,2,1,20.000000
BZID-1304390560,2,2,175.000000
BZID-1304478115,2,1,40.000000
BZID-1304391654,2,2,140.000000
BZID-1304606071,2,1,45.000000
BZID-1304371769,2,2,235.000000
BZID-1304357972,2,1,40.000000
BZID-1304426271,1,1,40.000000
BZID-1304368576,2,0,0.000000
BZID-1304419493,1,0,0.000000
BZID-1304415828,2,2,80.000000
BZID-1304419856,2,2,235.000000
BZID-1304399527,2,1,40.000000
BZID-1304429720,2,2,125.000000
BZID-1304351481,2,2,85.000000
BZID-1304430544,2,2,80.000000
BZID-1304405694,2,1,85.000000
BZID-1304372145,2,1,40.000000
BZID-1304433425,2,1,85.000000
