businessid,calls
BZID-1304399271,7
BZID-1304414188,1
BZID-1304423526,1
BZID-1304424777,1
BZID-1304436021,10
BZID-1304425158,12
BZID-1304416430,2
BZID-1304608515,11
BZID-1304466040,2
BZID-1304417552,2
BZID-1304462484,2
BZID-1304394013,14
BZID-1304399816,8
BZID-1304465231,2
BZID-1304416470,4
BZID-1304608584,7
BZID-1304390745,1
BZID-1304475160,2
BZID-1304408363,3
BZID-1304351839,3
BZID-1304396500,3
BZID-1304441840,4
BZID-1304413574,2
BZID-1304438051,3
BZID-1304449103,2
BZID-1304416109,3
BZID-1304366483,4
BZID-1304396950,6
BZID-1304450696,5
BZID-1304408549,1
BZID-1304422737,1
BZID-1304597420,1
BZID-1304438536,2
BZID-1304460659,21
BZID-1304379436,3
BZID-1304600321,2
BZID-1304449344,3
BZID-1304548061,2
BZID-1304375800,15
BZID-1304417183,1
BZID-1304411427,3
BZID-1304596179,1
BZID-1304424330,1
BZID-1304453075,3
BZID-1304471826,1
BZID-1304457195,2
BZID-1304399157,4
BZID-1304421281,6
BZID-1304472395,3
BZID-1304566571,9
BZID-1304450638,2
BZID-1304461171,1
BZID-1304356152,1
BZID-1304465990,3
BZID-1304447517,2
BZID-1304368812,6
BZID-1304376201,4
BZID-1304449354,2
BZID-1304424364,2
BZID-1304604618,1
BZID-1304379815,1
BZID-1304475180,5
BZID-1304444249,1
BZID-1304462534,1
BZID-1304366883,2
BZID-1304370163,1
BZID-1304409939,6
BZID-1304393106,12
BZID-1304363644,8
BZID-1304456912,4
BZID-1304589300,1
BZID-1304411267,1
BZID-1304448001,4
BZID-1304360412,2
BZID-1304363982,1
BZID-1304442079,1
BZID-1304576628,7
BZID-1304476699,1
BZID-1304469381,1
BZID-1304374585,1
BZID-1304552797,1
BZID-1304608366,6
BZID-1304408574,3
BZID-1304557065,10
BZID-1304431472,1
BZID-1304460281,2
BZID-1304435803,7
BZID-1304375250,1
BZID-1304419794,8
BZID-1304609550,2
BZID-1304478699,2
BZID-1304472943,4
BZID-1304434768,3
BZID-1304553400,1
BZID-1304440429,1
BZID-1304355987,12
BZID-1304401014,1
BZID-1304383124,1
BZID-1304461121,1
BZID-1304383982,1
BZID-1304426169,1
BZID-1304368400,3
BZID-1304427684,8
BZID-1304392322,1
BZID-1304443037,1
BZID-1304415043,9
BZID-1304437909,6
BZID-1304388251,2
BZID-1304460597,1
BZID-1304354265,1
BZID-1304456445,3
BZID-1304472779,4
BZID-1304449158,3
BZID-1304605849,5
BZID-1304425122,1
BZID-1304546017,1
BZID-1304401213,2
BZID-1304392661,3
BZID-1304419646,4
BZID-1304402155,2
BZID-1304447587,2
BZID-1304417786,3
BZID-1304352149,1
BZID-1304412084,1
BZID-1304461606,1
BZID-1304424062,10
BZID-1304435136,1
BZID-1304438906,3
BZID-1304596542,1
BZID-1304476691,2
BZID-1304428063,1
BZID-1304462385,1
BZID-1304364073,2
BZID-1304450305,1
BZID-1304431029,1
BZID-1304411685,1
BZID-1304396139,2
BZID-1304410311,1
BZID-1304383843,2
BZID-1304380043,1
BZID-1304375938,1
BZID-1304444497,1
BZID-1304352724,1
BZID-1304363722,1
BZID-1304388454,1
BZID-1304372181,1
BZID-1304424664,1
BZID-1304426103,2
BZID-1304418138,3
BZID-1304423214,2
BZID-1304463164,2
BZID-1304357582,1
BZID-1304417169,3
BZID-1304361160,1
BZID-1304461665,1
BZID-1304443184,1
BZID-1304595722,3
BZID-1304439149,2
BZID-1304426242,1
BZID-1304403051,2
BZID-1304549301,4
BZID-1304463543,3
BZID-1304417208,10
BZID-1304460788,3
BZID-1304437835,3
BZID-1304408134,1
BZID-1304381345,1
BZID-1304395873,1
BZID-1304449261,1
BZID-1304430231,4
BZID-1304377989,7
BZID-1304365552,2
BZID-1304477804,1
BZID-1304473592,3
BZID-1304396124,1
BZID-1304450704,1
BZID-1304421832,1
BZID-1304386598,2
BZID-1304361613,1
BZID-1304427840,1
BZID-1304558851,1
BZID-1304474509,4
BZID-1304396721,2
BZID-1304370597,1
BZID-1304425128,2
BZID-1304350445,4
BZID-1304460653,1
BZID-1304465657,3
BZID-1304380216,2
BZID-1304604412,1
BZID-1304444284,3
BZID-1304407135,2
BZID-1304449963,3
BZID-1304391215,1
BZID-1304357670,1
BZID-1304386069,2
BZID-1304403239,5
BZID-1304603466,3
BZID-1304376304,3
BZID-1304439715,1
BZID-1304465392,7
BZID-1304471180,1
BZID-1304423563,1
BZID-1304391371,3
BZID-1304419764,3
BZID-1304417674,1
BZID-1304459895,1
BZID-1304356793,1
BZID-1304438707,4
BZID-1304375512,1
BZID-1304357704,1
BZID-1304460895,1
BZID-1304597756,1
BZID-1304402507,1
BZID-1304460349,8
BZID-1304403097,1
BZID-1304460457,3
BZID-1304448204,2
BZID-1304467112,1
BZID-1304476209,2
BZID-1304429343,2
BZID-1304349423,1
BZID-1304398470,2
BZID-1304368872,1
BZID-1304474900,5
BZID-1304600794,1
BZID-1304428143,1
BZID-1304426072,5
BZID-1304422823,1
BZID-1304408122,1
BZID-1304439148,3
BZID-1304404546,10
BZID-1304412025,2
BZID-1304426535,1
BZID-1304421814,1
BZID-1304479520,2
BZID-1304352089,2
BZID-1304442893,1
BZID-1304398472,4
BZID-1304479353,2
BZID-1304576849,2
BZID-1304424319,2
BZID-1304478349,1
BZID-1304375399,1
BZID-1304377953,1
BZID-1304428361,2
BZID-1304442809,2
BZID-1304437767,2
BZID-1304461582,1
BZID-1304429728,4
BZID-1304375294,1
BZID-1304381571,2
BZID-1304461996,1
BZID-1304410022,2
BZID-1304563417,1
BZID-1304392127,3
BZID-1304380255,2
BZID-1304475655,5
BZID-1304609275,6
BZID-1304435691,2
BZID-1304415530,1
BZID-1304401218,3
BZID-1304600554,1
BZID-1304426574,1
BZID-1304414853,5
BZID-1304361562,1
BZID-1304435434,2
BZID-1304396291,1
BZID-1304447040,2
BZID-1304506818,1
BZID-1304462578,2
BZID-1304448386,2
BZID-1304413001,1
BZID-1304399383,2
BZID-1304413425,4
BZID-1304606249,1
BZID-1304410877,1
BZID-1304478336,4
BZID-1304598469,2
BZID-1304439231,1
BZID-1304389993,1
BZID-1304459890,3
