business_id,sc_points_red,sc_rewards_count
BZID-1304437922,1300.0,1
BZID-1304449343,2700.0,1
BZID-1304426022,1300.0,1
BZID-1304448630,1200.0,1
BZID-1304434877,2000.0,1
BZID-1304428227,2100.0,1
BZID-1304420093,2700.0,1
BZID-1304458297,2000.0,1
BZID-1304473752,2000.0,1
BZID-1304449134,4500.0,1
BZID-1304475707,1200.0,1
BZID-1304462324,1200.0,1
BZID-1304424006,5000.0,1
BZID-1304457356,4500.0,1
BZID-1304438291,550.0,1
BZID-1304480009,2600.0,1
BZID-1304478558,5000.0,1
BZID-1304474411,2700.0,1
BZID-1304424100,4500.0,1
BZID-1304419077,1200.0,1
BZID-1304463514,2700.0,1
BZID-1304399262,2300.0,2
BZID-1304473604,32500.0,1
BZID-1304451041,2700.0,1
BZID-1304457780,550.0,1
BZID-1304473994,9000.0,1
BZID-1304451094,4500.0,1
BZID-1304456438,550.0,1
BZID-1304479297,11000.0,1
BZID-1304461995,3200.0,1
BZID-1304417525,5000.0,1
BZID-1304431684,1100.0,1
BZID-1304475661,9000.0,1
BZID-1304471285,1200.0,1
BZID-1304449637,1300.0,1
BZID-1304434410,2000.0,1
BZID-1304471716,1200.0,1
BZID-1304472942,2100.0,1
BZID-1304457561,3500.0,1
BZID-1304475733,2100.0,1
BZID-1304479948,2000.0,1
BZID-1304457957,2250.0,1
BZID-1304428699,3050.0,3
BZID-1304447384,2100.0,1
BZID-1304436360,550.0,1
BZID-1304475608,22500.0,2
BZID-1304425314,4000.0,2
BZID-1304472567,2000.0,1
BZID-1304433921,550.0,1
BZID-1304431195,2400.0,1
BZID-1304470545,550.0,1
BZID-1304464174,3800.0,1
BZID-1304416134,550.0,1
BZID-1304460384,550.0,1
BZID-1304460439,5000.0,1
BZID-1304474679,5000.0,1
BZID-1304475216,41500.0,2
BZID-1304433844,2500.0,2
BZID-1304437099,8200.0,2
BZID-1304450451,1200.0,1
BZID-1304474922,37500.0,2
BZID-1304457048,1200.0,1
BZID-1304479248,16000.0,1
BZID-1304446409,1300.0,1
BZID-1304449456,1300.0,1
BZID-1304466908,3200.0,2
BZID-1304432689,16500.0,1
BZID-1304472847,32500.0,1
BZID-1304391483,550.0,1
BZID-1304472956,1200.0,1
BZID-1304465768,4500.0,1
BZID-1304442982,1200.0,1
BZID-1304445953,1200.0,1
BZID-1304431339,2100.0,1
BZID-1304480109,10500.0,1
BZID-1304463607,1200.0,1
BZID-1304471366,2100.0,1
BZID-1304435277,2100.0,1
BZID-1304437435,1100.0,1
BZID-1304475004,9000.0,1
BZID-1304438568,1200.0,1
BZID-1304473206,40000.0,1
BZID-1304474586,1200.0,1
BZID-1304466336,4100.0,2
BZID-1304417966,550.0,1
BZID-1304475919,32500.0,1
BZID-1304446621,550.0,1
BZID-1304460245,16000.0,1
BZID-1304472398,3200.0,1
BZID-1304472184,2700.0,1
BZID-1304475950,2700.0,1
BZID-1304478943,14700.0,3
BZID-1304465247,9000.0,1
