businessid,total_visits
BZID-1304467762,2
BZID-1304438397,2
BZID-1304389237,7
BZID-1304421440,1
BZID-1304381879,3
BZID-1304456346,1
BZID-1304412213,1
BZID-1304409658,1
BZID-1304429706,1
BZID-1304459059,2
BZID-1304432577,6
BZID-1304435329,1
BZID-1304422516,1
BZID-1304377970,1
BZID-1304420137,2
BZID-1304375395,3
BZID-1304379683,1
BZID-1304391104,3
BZID-1304415742,2
BZID-1304399973,5
BZID-1304423723,1
BZID-1304365891,2
BZID-1304402564,2
BZID-1304446173,2
BZID-1304436612,3
BZID-1304404571,2
BZID-1304397496,2
BZID-1304351141,1
BZID-1304377101,2
BZID-1304438376,5
BZID-1304410296,2
BZID-1304406059,1
BZID-1304390722,5
BZID-1304406217,5
BZID-1304422361,1
BZID-1304362169,3
BZID-1304375434,3
BZID-1304408499,3
BZID-1304399599,3
BZID-1304447322,1
BZID-1304405073,2
BZID-1304359923,1
BZID-1304607325,1
BZID-1304463918,4
BZID-1304381133,2
BZID-1304407003,1
BZID-1304463422,1
BZID-1304386578,4
BZID-1304352819,1
BZID-1304373836,2
BZID-1304421414,5
BZID-1304376438,3
BZID-1304352257,2
BZID-1304445229,1
BZID-1304360791,1
BZID-1304412060,1
BZID-1304352186,2
BZID-1304375269,3
BZID-1304419160,3
BZID-1304548300,1
BZID-1304358115,1
BZID-1304458121,1
BZID-1304414877,1
BZID-1304389723,2
BZID-1304544449,1
BZID-1304415316,1
BZID-1304425604,2
BZID-1304383013,1
BZID-1304424445,1
BZID-1304351699,2
BZID-1304406816,2
BZID-1304402433,1
BZID-1304398505,2
BZID-1304371317,1
BZID-1304567717,2
BZID-1304381480,2
BZID-1304388936,1
BZID-1304401433,1
BZID-1304410585,4
BZID-1304393796,2
BZID-1304385073,1
BZID-1304465958,1
BZID-1304409607,4
BZID-1304420320,2
BZID-1304405894,1
BZID-1304428560,1
BZID-1304399497,1
BZID-1304379436,2
BZID-1304381134,3
BZID-1304374255,2
BZID-1304389107,3
BZID-1304435921,1
BZID-1304377365,1
BZID-1304447680,1
BZID-1304400827,1
BZID-1304470904,3
BZID-1304435352,1
BZID-1304370432,3
BZID-1304357201,2
BZID-1304440548,1
BZID-1304377784,1
BZID-1304394995,3
BZID-1304402409,1
BZID-1304412136,4
BZID-1304395273,3
BZID-1304408763,3
BZID-1304421028,2
BZID-1304399995,1
BZID-1304353122,1
BZID-1304455968,1
BZID-1304417390,7
BZID-1304392353,3
BZID-1304428870,1
BZID-1304430494,1
BZID-1304393557,2
BZID-1304402452,2
BZID-1304430350,1
BZID-1304413602,1
BZID-1304386900,1
BZID-1304406437,1
BZID-1304415848,1
BZID-1304416360,4
BZID-1304423421,3
BZID-1304401207,1
BZID-1304422514,2
BZID-1304401685,5
BZID-1304450102,2
BZID-1304426701,3
BZID-1304411396,1
BZID-1304388699,3
BZID-1304419368,2
BZID-1304413448,4
BZID-1304397517,4
BZID-1304429166,2
BZID-1304411763,3
BZID-1304410225,1
BZID-1304409006,2
BZID-1304421319,3
BZID-1304479289,1
BZID-1304402158,2
BZID-1304398663,4
BZID-1304359789,2
BZID-1304385194,2
BZID-1304577569,1
BZID-1304396685,3
BZID-1304364126,3
BZID-1304389230,4
BZID-1304416545,2
BZID-1304401343,1
BZID-1304473527,3
BZID-1304377156,4
BZID-1304433745,3
BZID-1304414172,2
BZID-1304390042,2
BZID-1304468613,2
BZID-1304421528,1
BZID-1304464598,3
BZID-1304435611,1
BZID-1304406262,3
BZID-1304418292,1
BZID-1304461104,2
BZID-1304380962,1
BZID-1304557074,6
BZID-1304406466,10
BZID-1304397825,2
BZID-1304413017,1
BZID-1304417320,3
BZID-1304380072,1
BZID-1304389600,1
BZID-1304398040,2
BZID-1304554570,1
BZID-1304422119,3
BZID-1304407531,2
BZID-1304384152,2
BZID-1304450471,1
BZID-1304358959,2
BZID-1304438632,3
BZID-1304428085,1
BZID-1304560910,2
BZID-1304363313,2
BZID-1304388044,2
BZID-1304460541,1
BZID-1304414127,1
BZID-1304373443,2
BZID-1304428883,2
BZID-1304392925,1
BZID-1304399425,1
BZID-1304440373,2
BZID-1304403175,2
BZID-1304604697,3
BZID-1304408733,1
BZID-1304376542,1
BZID-1304351449,1
BZID-1304420685,1
BZID-1304379519,4
BZID-1304389002,3
BZID-1304419202,2
BZID-1304428141,1
BZID-1304413704,4
BZID-1304429296,4
BZID-1304410218,3
BZID-1304353342,1
BZID-1304410561,2
BZID-1304350188,1
BZID-1304402737,1
BZID-1304375842,8
BZID-1304454289,4
BZID-1304384773,2
BZID-1304439824,2
BZID-1304424341,2
BZID-1304374017,4
BZID-1304378638,4
BZID-1304390571,6
BZID-1304413613,2
BZID-1304447359,1
BZID-1304426767,1
BZID-1304384521,1
BZID-1304390336,1
BZID-1304411484,3
BZID-1304382583,2
BZID-1304372400,2
BZID-1304380252,2
BZID-1304407502,2
BZID-1304382689,2
BZID-1304380331,1
BZID-1304376509,2
BZID-1304403130,1
BZID-1304442375,3
BZID-1304392793,2
BZID-1304415182,1
BZID-1304457387,1
BZID-1304405656,2
BZID-1304373958,1
BZID-1304438640,2
BZID-1304371812,1
BZID-1304400797,3
BZID-1304367442,1
BZID-1304426295,2
BZID-1304399398,2
BZID-1304410570,3
BZID-1304403481,2
BZID-1304350703,2
BZID-1304463752,1
BZID-1304428082,1
BZID-1304412044,2
BZID-1304420931,2
BZID-1304443144,2
BZID-1304405815,2
BZID-1304393695,2
BZID-1304350115,2
BZID-1304410252,3
BZID-1304405310,2
BZID-1304368158,2
BZID-1304394619,4
BZID-1304443660,5
BZID-1304405221,2
BZID-1304351108,2
BZID-1304412483,1
BZID-1304369697,3
BZID-1304424673,1
BZID-1304394772,2
BZID-1304446717,1
BZID-1304366074,2
BZID-1304379100,3
BZID-1304377126,3
BZID-1304411454,2
BZID-1304429522,1
BZID-1304606386,1
BZID-1304421929,2
BZID-1304408762,3
BZID-1304397349,5
BZID-1304401393,1
BZID-1304475361,4
BZID-1304375721,2
BZID-1304375629,2
BZID-1304458476,1
BZID-1304442147,2
BZID-1304418253,2
BZID-1304457301,2
BZID-1304433277,4
BZID-1304395744,1
BZID-1304460557,2
BZID-1304429930,1
BZID-1304389431,1
BZID-1304384912,1
BZID-1304351609,2
BZID-1304378850,2
BZID-1304360980,1
BZID-1304412316,2
BZID-1304352182,1
BZID-1304399469,1
BZID-1304430266,1
BZID-1304379926,2
BZID-1304473361,1
BZID-1304358299,1
BZID-1304406118,3
BZID-1304386441,2
BZID-1304389095,2
BZID-1304383899,1
BZID-1304406746,1
BZID-1304422352,1
BZID-1304388410,2
BZID-1304448609,1
BZID-1304457461,2
BZID-1304408379,1
BZID-1304416806,1
BZID-1304400969,1
BZID-1304386618,1
BZID-1304389042,3
BZID-1304423845,2
BZID-1304397400,2
BZID-1304415613,3
BZID-1304390604,1
BZID-1304382832,2
BZID-1304402519,2
BZID-1304412642,1
BZID-1304421270,2
BZID-1304420188,2
BZID-1304603604,2
BZID-1304392738,1
BZID-1304435794,1
BZID-1304428546,3
BZID-1304475939,3
BZID-1304456481,1
BZID-1304378929,1
BZID-1304369755,3
BZID-1304609078,1
BZID-1304438551,2
BZID-1304596856,1
BZID-1304374199,4
BZID-1304367190,1
BZID-1304381393,3
BZID-1304351473,1
BZID-1304377001,1
