businessid,cta_dt_cnt,ppv_plv_dt_cnt,atc_dt_cnt
BZID-1304373245,56,55,16
BZID-1304459765,45,34,14
BZID-1304387900,26,24,6
BZID-1304419972,38,37,2
BZID-1304379373,49,39,23
BZID-1304607584,52,51,17
BZID-1304450858,51,40,38
BZID-1304387018,53,53,27
BZID-1304578906,34,31,9
BZID-1304387075,41,35,29
BZID-1304477123,63,63,61
BZID-1304589309,58,58,37
BZID-1304389713,44,38,23
BZID-1304355795,60,57,47
BZID-1304469741,63,62,36
BZID-1304429762,23,13,12
BZID-1304424239,51,47,37
BZID-1304383321,45,41,12
BZID-1304401417,41,37,16
BZID-1304370464,6,6,0
BZID-1304446047,60,56,40
BZID-1304473307,51,39,17
BZID-1304477525,61,60,46
BZID-1304427083,55,37,26
BZID-1304407084,55,50,41
BZID-1304381978,15,13,5
BZID-1304397192,47,43,29
BZID-1304435098,58,53,52
BZID-1304479735,63,61,54
BZID-1304350445,56,53,27
BZID-1304386456,14,14,10
BZID-1304475506,57,56,35
BZID-1304353289,13,9,4
BZID-1304415731,15,10,8
BZID-1304438704,48,47,18
BZID-1304608336,10,10,1
BZID-1304356059,13,6,0
BZID-1304435600,58,50,33
BZID-1304445971,58,56,41
BZID-1304426992,55,37,23
BZID-1304428882,63,46,40
BZID-1304370821,61,48,37
BZID-1304439554,28,22,12
BZID-1304349511,57,54,37
BZID-1304475383,62,61,22
BZID-1304460466,44,28,14
BZID-1304457144,58,51,28
BZID-1304358648,62,60,37
BZID-1304357066,54,48,21
BZID-1304440814,60,56,54
BZID-1304427173,43,39,17
BZID-1304598308,30,27,22
BZID-1304420579,33,29,1
BZID-1304368270,27,22,11
BZID-1304435399,44,30,9
BZID-1304374889,45,41,15
BZID-1304365669,62,61,38
BZID-1304389784,10,10,0
BZID-1304352424,43,40,8
BZID-1304412790,61,60,44
BZID-1304473056,63,63,47
BZID-1304426888,13,10,1
BZID-1304426743,54,44,33
BZID-1304396454,18,10,12
BZID-1304350088,63,63,47
BZID-1304392582,39,35,21
BZID-1304609081,50,36,23
BZID-1304577557,52,52,22
BZID-1304454925,43,30,19
BZID-1304386098,7,5,3
BZID-1304433199,59,56,41
BZID-1304362635,45,40,20
BZID-1304403566,46,30,12
BZID-1304465704,32,10,0
BZID-1304418291,54,51,25
BZID-1304425956,58,51,44
BZID-1304595414,49,38,25
BZID-1304476262,60,55,53
BZID-1304449747,63,61,59
BZID-1304396440,51,45,16
BZID-1304606427,35,33,13
BZID-1304385279,29,28,21
BZID-1304361428,60,56,48
BZID-1304578414,50,48,30
BZID-1304475026,59,51,29
BZID-1304461437,63,60,54
BZID-1304445799,43,37,15
BZID-1304454278,26,19,15
BZID-1304466962,62,60,54
BZID-1304594959,27,19,7
BZID-1304356941,63,60,41
BZID-1304447029,57,53,47
BZID-1304424501,63,62,47
BZID-1304414197,57,52,47
BZID-1304478656,62,61,59
BZID-1304409555,63,60,57
BZID-1304418071,53,46,22
BZID-1304462795,62,55,44
BZID-1304603431,24,23,6
BZID-1304595430,63,63,48
BZID-1304460013,25,11,1
BZID-1304466933,63,52,27
BZID-1304351931,54,39,29
BZID-1304395873,35,30,17
BZID-1304456568,63,62,52
BZID-1304382504,27,18,16
BZID-1304430231,38,30,19
BZID-1304426652,45,28,16
BZID-1304469473,62,61,60
BZID-1304410803,40,27,14
BZID-1304417842,33,27,20
BZID-1304426103,61,57,43
BZID-1304576806,46,44,25
